pnum,voicefil,voice,HNDE,HNEX,HNIN,HPEF,HPFO,HPRE,LNEY,LNSP,LNSW,LPAT,LPFO,LPGR,HN,HP,LN,LP,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,ptype,hilo_actual,form_smeanMD,form_svarMD,intense_smeanMD,intense_svarMD,pitch_smeanMD,pitch_svarMD,LPr,LNr,newpster,vsex,feelpower,Zsub_form_smean,Zsub_form_svar,Zsub_form_rmean,Zsub_form_rvar,Zsub_intense_smean,Zsub_intense_svar,Zsub_intense_rmean,Zsub_intense_rvar,Zsub_pitch_smean,Zsub_pitch_svar,Zsub_pitch_rmean,Zsub_pitch_rvar
18,m41_power.wav,41,3,2,5,1,4,3,5,6,6,2,5,4,3.33,2.67,5.67,3.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.33,2.33,3.165,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
19,m41_power.wav,41,1,5,1,6,2,2,5,2,4,3,4,3,2.33,3.33,3.67,3.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.67,4.33,3.665,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
21,m41_power.wav,41,5,3,4,6,5,1,1,1,5,4,5,4,4,4,2.33,4.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3.67,5.67,4.335,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
23,m41_power.wav,41,6,7,7,6,7,3,1,1,1,3,4,2,6.67,5.33,1,3,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,5,7,6,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
24,m41_power.wav,41,5,2,2,5,6,5,1,1,3,5,5,6,3,5.33,1.67,5.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,2.67,6.33,4.3325,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
26,m41_power.wav,41,3,4,4,4,3,3,4,4,4,4,4,4,3.67,3.33,4,4,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4,4,3.75,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
27,m41_power.wav,41,4,4,3,6,6,6,1,2,2,5,5,5,3.67,6,1.67,5,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3,6.33,4.75,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
28,m41_power.wav,41,2,2,2,2,2,2,5,3,5,3,3,3,2,2,4.33,3,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,5,3.67,3.1675,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
29,m41_power.wav,41,5,5,3,6,5,5,5,4,6,5,6,5,4.33,5.33,5,5.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,2.67,3,3.8325,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
32,m41_power.wav,41,5,5,5,4,6,5,4,4,3,3,5,5,5,5,3.67,4.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3.67,4.33,4.5,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
33,m41_power.wav,41,4,4,3,4,4,5,3,5,4,4,5,5,3.67,4.33,4,4.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3.33,4,3.8325,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
35,m41_power.wav,41,3,3,3,5,3,3,4,3,3,3,5,4,3,3.67,3.33,4,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4,4.67,3.835,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
38,m41_power.wav,41,2,5,5,2,5,2,5,3,3,2,5,4,4,3,3.67,3.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.33,4.33,3.915,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
39,m41_power.wav,41,6,6,5,5,2,5,3,2,3,3,5,3,5.67,4,2.67,3.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.33,5.33,4.8325,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
40,m41_power.wav,41,3,3,3,3,4,3,3,4,3,3,3,3,3,3.33,3.33,3,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,5,4.67,4,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
41,m41_power.wav,41,5,4,4,5,7,4,2,3,2,5,6,6,4.33,5.33,2.33,5.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,2.33,5.67,4.415,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
42,m41_power.wav,41,5,5,2,4,7,6,3,3,6,3,2,6,4,5.67,4,3.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.33,4,4.5,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
45,m41_power.wav,41,2,3,2,3,2,3,5,3,5,3,4,3,2.33,2.67,4.33,3.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.67,3.67,3.335,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
47,m41_power.wav,41,5,2,3,4,5,3,6,6,4,3,5,4,3.33,4,5.33,4,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4,2.67,3.5,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
49,m41_power.wav,41,3,2,6,3,2,4,3,3,5,2,3,4,3.67,3,3.67,3,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,5,4.33,4,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
50,m41_power.wav,41,4,5,3,5,6,4,2,3,3,4,6,4,4,5,2.67,4.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3.33,5.33,4.415,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
51,m41_power.wav,41,5,5,3,6,6,5,3,2,2,4,5,6,4.33,5.67,2.33,5,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3,5.67,4.6675,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
52,m41_power.wav,41,2,2,2,3,5,2,5,4,3,4,5,3,2,3.33,4,4,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4,4,3.3325,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
54,m41_power.wav,41,3,4,5,3,3,2,6,6,5,4,4,3,4,2.67,5.67,3.67,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,4.33,2.33,3.3325,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
55,m41_power.wav,41,4,3,4,5,3,4,4,3,3,5,4,4,3.67,4,3.33,4.33,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,lo,-102.3590167,-111.381744,1.151793187,-10.91151138,-35.55247482,26.01079543,3.67,4.67,4.0025,M,2,-0.849581,0.042495,-0.876739,-0.042209,0.264485,-0.440741,-0.394703,0.774747,0.37529,0.723742,0.561598,1.794697
1,m45_power.wav,45,1,3,2,3,1,3,2,3,1,4,3,3,2,2.33,2,3.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621,95.479462,53.925112,82.373596,96.649868,2740.86705,90.133245,69.937249,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,4.67,6,3.75,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
2,m45_power.wav,45,1,1,1,1,1,1,7,7,7,1,2,3,1,1,7,2,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,6,1,2.25,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
3,m45_power.wav,45,6,7,3,2,4,2,1,1,2,6,5,3,5.33,2.67,1.33,4.67,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3.33,6.67,4.5,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
5,m45_power.wav,45,1,1,1,1,2,1,7,7,7,1,2,2,1,1.33,7,1.67,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,6.33,1,2.415,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
6,m45_power.wav,45,3,3,1,1,3,3,3,7,3,3,2,2,2.33,2.33,4.33,2.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,5.67,3.67,3.5,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
7,m45_power.wav,45,3,4,3,4,4,2,7,4,4,5,3,1,3.33,3.33,5,3,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,5,3,3.665,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
9,m45_power.wav,45,3,1,2,2,3,2,5,5,3,4,2,4,2,2.33,4.33,3.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,4.67,3.67,3.1675,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
10,m45_power.wav,45,1,1,1,1,1,1,5,7,7,1,1,1,1,1,6.33,1,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,7,1.67,2.6675,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
11,m45_power.wav,45,1,1,1,1,1,1,7,7,1,1,1,1,1,1,5,1,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,7,3,3,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
12,m45_power.wav,45,1,1,1,1,2,1,7,7,7,3,3,4,1,1.33,7,3.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,4.67,1,2,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
13,m45_power.wav,45,1,1,1,1,1,1,7,7,1,1,1,1,1,1,5,1,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,7,3,3,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
14,m45_power.wav,45,1,1,1,1,1,1,7,7,7,4,1,1,1,1,7,2,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,6,1,2.25,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
16,m45_power.wav,45,4,4,5,4,6,4,4,5,5,5,5,5,4.33,4.67,4.67,5,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3,3.33,3.8325,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
18,m45_power.wav,45,1,1,1,1,4,1,7,7,7,6,5,4,1,2,7,5,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3,1,1.75,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
19,m45_power.wav,45,1,1,1,1,2,1,6,7,2,1,5,2,1,1.33,5,2.67,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,5.33,3,2.665,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
23,m45_power.wav,45,1,1,1,1,6,7,1,7,7,7,7,5,1,4.67,5,6.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,1.67,3,2.585,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
24,m45_power.wav,45,2,2,1,1,3,1,6,5,6,5,5,5,1.67,1.67,5.67,5,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3,2.33,2.1675,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
26,m45_power.wav,45,4,1,4,1,4,4,4,4,3,4,4,4,3,3,3.67,4,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,4,4.33,3.5825,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
27,m45_power.wav,45,2,2,1,1,2,1,6,6,4,5,4,4,1.67,1.33,5.33,4.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3.67,2.67,2.335,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
28,m45_power.wav,45,1,1,1,1,1,1,7,7,7,1,1,1,1,1,7,1,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,7,1,2.5,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
29,m45_power.wav,45,1,1,1,1,2,1,7,7,7,2,6,2,1,1.33,7,3.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,4.67,1,2,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
32,m45_power.wav,45,1,1,3,2,2,2,7,7,7,5,4,4,1.67,2,7,4.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3.67,1,2.085,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
33,m45_power.wav,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,7,7,4,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
35,m45_power.wav,45,1,1,1,7,1,2,7,7,7,2,2,2,1,3.33,7,2,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,6,1,2.8325,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
38,m45_power.wav,45,2,5,2,1,3,2,2,6,2,6,5,5,3,2,3.33,5.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,2.67,4.67,3.085,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
39,m45_power.wav,45,1,1,2,1,2,2,6,6,6,6,1,2,1.33,1.67,6,3,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,5,2,2.5,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
40,m45_power.wav,45,4,3,3,3,3,3,3,3,3,3,3,3,3.33,3,3,3,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,5,5,4.0825,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
41,m45_power.wav,45,1,2,1,1,2,1,7,7,6,5,5,3,1.33,1.33,6.67,4.33,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,3.67,1.33,1.915,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
42,m45_power.wav,45,4,3,3,2,3,3,3,2,2,3,2,4,3.33,2.67,2.33,3,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,lo,-48.63153825,357.8269913,-7.214613373,-103.0384732,-59.25449845,1276.02705,5,5.67,4.1675,M,3,-0.204148,0.083031,1.688565,0.033122,-1.567877,-1.940892,-1.037653,-1.932285,-1.127493,2.348927,-1.35018,-0.848002
