voice,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,pow,age,sex,race,native,feelpower,plev,vsex,pitch_rmeanMD,pitch_rvarMD,intense_rmeanMD,intense_rvarMD,formant_rmeanMD,formant_rvarMD,pitch_smeanMD,pitch_svarMD,intense_smeanMD,intense_svarMD,formant_smeanMD,formant_svarMD,Zpitch_rmean,Zpitch_rvar,Zform_rmean,Zform_rvar,Zintense_rmean,Zintense_rvar,Zpitch_smean,Zpitch_svar,Zform_smean,Zform_svar,Zintense_smean,Zintense_svar
55,1012.532128,36022.58102,1207.728318,71863.45333,55.20447159,289.4371163,58.4263815,193.8340335,112.5555384,1802.661119,116.7175439,6020.57103,3,20,M,C,Y,5,1,-1,-32.85245614,4268.12103,0.966381498,11.08403352,-84.88168234,7732.853327,-44.52446156,265.021119,-3.815528405,99.30711626,-116.737872,-6889.538983,0.2748973,2.922598098,-1.745411866,0.154668998,-0.020889132,0.316138761,-0.30996074,0.925981791,-1.028222785,-0.459050808,-0.915263019,1.488937295
56,1121.837962,31852.56998,1272.777579,54133.04048,56.93567988,200.9422469,59.80820362,145.1217797,118.1362375,560.8187728,107.1730757,1707.173143,2,18,M,A,Y,6,1,-1,-42.39692426,-45.27685723,2.348203619,-37.62822026,-19.83242138,-9997.559524,-38.94376254,-976.8212272,-2.084320121,10.81224694,-7.432037536,-11059.55002,-0.350076794,0.115095962,-0.30037482,-1.16055682,0.327156222,-0.523673582,0.025681906,-0.592370465,0.211864557,-0.726910146,-0.493060898,0.024434125
57,1049.151414,31588.98444,1250.01798,62344.88154,56.78630773,240.779756,59.0655805,128.643401,105.1903442,506.0703491,96.5501594,589.0521715,2,22,M,X,Y,5,1,-1,-53.0198406,-1163.397828,1.605580497,-54.10659896,-42.59201998,-1785.718463,-51.8896558,-1031.569651,-2.233692265,50.64975595,-80.11858586,-11323.13556,-1.04566794,-0.612666024,-0.805968006,-0.551409956,0.140108611,-0.807765258,-0.752929132,-0.65930923,-0.612772745,-0.74384148,-0.529489349,0.683705772
58,1040.604655,33864.18845,1218.487128,65339.1348,54.46310508,283.4727485,60.97326386,113.7499048,136.2576836,2517.275139,127.5364772,1682.63511,2,21,M,C,Y,5,-1,-1,-22.03352284,-69.81488952,3.513263863,-69.00009522,-74.12287163,1208.534803,-20.8223164,979.6351391,-4.556894922,93.34274852,-88.66534509,-9047.931552,0.983323683,0.099124661,-1.506410226,-0.329298986,0.62060485,-1.064533135,1.115568691,1.799712512,-0.709736718,-0.597694471,-1.096065363,1.390232867
60,1075.912379,43345.89962,1345.93975,75194.71534,59.67232414,252.4935746,56.09517563,119.4227109,126.4634738,345.0058864,117.676622,239.4306641,4,22,M,C,N,6,1,-1,-31.89337798,-1513.019336,-1.364824367,-63.32728906,53.32975011,11064.11534,-30.61652624,-1192.634114,0.652324144,62.36357461,-53.35762126,433.7796218,0.337697971,-0.840227486,1.324886508,0.401778969,-0.608059766,-0.966732433,0.526510853,-0.856236473,-0.309166505,0.011360242,0.174344073,0.877557965
61,1273.275511,69003.3969,1283.701171,57684.96612,67.52735065,236.8826829,68.41894089,186.9734497,119.9964896,573.1024331,117.2574924,2002.335981,2,21,M,C,Y,4,1,-1,-32.31250761,249.8859808,10.95894089,4.223449737,-8.908828919,-6445.633878,-37.08351039,-964.5375669,8.507350652,46.75268289,144.0055111,26091.2769,0.31025326,0.307211394,-0.057712635,-0.897078222,2.495978865,0.197860454,0.137563939,-0.577351712,1.929941072,1.659461451,2.090005455,0.61921304
62,1086.733818,41101.02992,1244.5504,71049.75448,52.59362892,61.04764375,58.93255196,148.55982,113.6337703,1139.356291,110.4051044,678.5332475,1,18,M,A,Y,5,1,-1,-39.16489559,-1073.916752,1.472551961,-34.19018002,-48.05960016,6919.154484,-43.44622973,-398.2837086,-6.426371078,-129.0823563,-42.53618204,-1811.090075,-0.138442771,-0.554424628,-0.927427586,0.094309561,0.106602153,-0.464400844,-0.245112128,0.11498482,-0.186396025,-0.132838252,-1.551987857,-2.290684158
63,1218.233967,58363.53374,1272.200794,53493.57572,59.47717427,286.3951243,55.88701172,317.7388905,123.3814073,1037.83306,120.0013694,2153.462945,3,22,M,A,Y,4,-1,-1,-29.56863065,401.0129449,-1.572988282,134.9888905,-20.40920593,-10637.02428,-33.69859266,-499.8069399,0.457174269,96.26512434,88.96396685,15451.41374,0.489922991,0.405576833,-0.313187802,-1.20799173,-0.660490888,2.452291787,0.341144661,-0.00914368,1.305488383,0.976013212,0.12675148,1.438595316
64,1105.811736,35958.83572,1326.462518,72338.08172,60.72297987,236.877881,60.98608512,221.8352321,121.3848357,4706.31901,116.4193036,1823.66629,1,19,M,C,Y,6,1,-1,-33.15069638,71.21629018,3.526085122,39.08523206,33.85251789,8207.481725,-35.69516431,3168.67901,1.702979867,46.74788101,-23.45826399,-6953.28428,0.255368455,0.190918961,0.892209461,0.189876498,0.623834195,0.798886948,0.2210639,4.47617117,0.030045163,-0.463145467,0.430574983,0.619133574
65,1094.421856,31838.68633,1289.911367,89159.11115,53.25551013,224.4774869,56.08991913,212.8651367,109.0688098,1654.717971,104.8011841,2963.609427,4,19,M,M,Y,6,1,-1,-44.76881589,1211.159427,-1.370080865,30.1151367,-2.698633322,25028.51115,-48.01119022,117.077971,-5.764489873,34.34748687,-34.84814449,-11073.43367,-0.505388835,0.932884547,0.080243778,1.437645084,-0.609383743,0.644240094,-0.519664725,0.745097467,-0.099174349,-0.727801958,-1.390570163,0.41391923
66,1033.280549,34088.50071,1307.568672,82051.59564,65.09649701,197.8368168,60.99911473,160.717836,127.4830987,342.1460743,117.4619351,794.6527879,3,19,M,A,N,4,1,-1,-32.10806494,-957.7972121,3.539114735,-22.03216404,14.95867171,17920.99564,-29.59690128,-1195.493926,6.076497006,7.70681677,-95.98945133,-8823.619291,0.323640216,-0.478844803,0.472492046,0.910416081,0.627116018,-0.254793382,0.587834644,-0.859733054,-0.792829551,-0.583285844,1.497175825,-0.026957695
67,1043.938873,40848.80151,1256.365174,76699.61112,52.72791235,216.4698854,54.20108571,141.8983687,104.6483159,2314.667093,105.7654791,4320.79659,4,19,M,C,Y,3,-1,-1,-43.80452094,2568.34659,-3.25891429,-40.85163126,-36.24482584,12569.01112,-52.43168408,777.0270934,-6.292087653,26.33988538,-85.33112651,-2063.318485,-0.442246567,1.816249809,-0.664968239,0.513410762,-1.085132168,-0.579246054,-0.785528598,1.551991548,-0.671909622,-0.149040064,-1.5192392,0.28140129
68,1074.006307,31432.11786,1316.718144,58708.32521,58.6268926,306.1527257,52.47888337,293.2116803,110.36127,1536.908627,102.375634,978.4968974,1,20,M,A,Y,5,1,-1,-47.194366,-773.9531026,-4.981116631,110.4616803,24.10814374,-5422.27479,-46.71873003,-0.7313727,-0.393107397,116.0227257,-55.26369315,-11480.00214,-0.664214446,-0.359184447,0.675743026,-0.82116638,-1.518910521,2.029436094,-0.441931676,0.601056573,-0.330791111,-0.753917755,-0.080612779,1.765564214
69,1089.435005,36613.08304,1325.675317,64609.99508,59.55789419,272.4254191,49.03150667,242.2000259,131.2218398,2595.093624,127.3415518,4115.335016,3,21,M,C,N,5,1,-1,-22.2284482,2362.885016,-8.428493334,59.45002589,33.06531661,479.3950752,-25.85816022,1057.453624,0.537894188,82.2954191,-39.83499526,-6299.03696,0.970559923,1.682519088,0.874722176,-0.383385905,-2.387215803,1.149981465,0.812695532,1.894858143,-0.155750748,-0.421120098,0.146437222,1.207410415
70,1042.272535,36595.27217,1380.071794,89467.45943,59.11067069,264.622387,52.66544632,296.4314708,145.9356876,2410.231569,141.066669,2702.05463,2,21,M,A,Y,4,-1,-1,-8.503331001,949.6046302,-4.794553682,113.6814708,87.46179366,25336.85943,-11.14431239,872.5915687,0.090670689,74.49238701,-86.99746503,-6316.84783,1.869283935,0.762643899,2.083112915,1.460518077,-1.471920126,2.084946147,1.697637505,1.668834509,-0.690814426,-0.422264174,0.037369635,1.078277898
71,1038.861839,41804.5545,1270.138969,53546.95355,57.94200059,183.0276986,60.02325069,198.7517034,94.76319849,227.6949699,98.83891114,749.8394824,2,21,M,C,Y,6,1,-1,-50.73108886,-1002.610518,2.563250693,16.00170341,-22.47103076,-10583.64645,-62.31680151,-1309.94503,-1.077999413,-7.10230138,-90.40816064,-1107.565497,-0.895799919,-0.508012864,-0.358990217,-1.204032212,0.381321034,0.400920712,-1.380053934,-0.999667961,-0.729509162,-0.087647573,-0.247642284,-0.272034055
72,1063.294785,39784.58132,1239.687265,74793.67249,60.17273985,186.8981649,60.39801629,149.0164544,100.841329,987.4781382,95.36635033,1213.595455,1,22,M,C,Y,6,-1,-1,-54.20364967,-538.8545449,2.938016287,-33.73354561,-52.92273541,10663.07249,-56.23867096,-550.1618618,1.152739848,-3.231835141,-65.9752146,-3127.538682,-1.123184046,-0.206163622,-1.035459722,0.372029976,0.475714822,-0.456528344,-1.014494027,-0.070710681,-0.452314562,-0.217399911,0.296384022,-0.20798164
73,1255.847955,67238.94417,1297.011995,60574.60602,60.62387973,135.5802933,60.36948102,106.5109199,130.9986558,846.4153383,110.1691874,329.5381573,4,19,M,C,Y,4,-1,-1,-39.4008126,-1422.911843,2.909481017,-76.23908015,4.401995441,-3555.993982,-26.08134418,-691.2246617,1.603879734,-54.5497067,126.5779548,24326.82417,-0.153890674,-0.781578368,0.237980722,-0.682727376,0.468527523,-1.189335181,0.799272473,-0.243182671,1.732223429,1.546122389,0.406406726,-1.057242012
74,1058.036339,38743.66723,1331.451884,107986.8505,57.53460956,125.1796628,57.59291909,124.9966755,99.9894152,883.5060882,93.7607539,353.3820685,1,18,M,C,Y,3,-1,-1,-55.8092461,-1399.067931,0.132919086,-57.75332449,38.8418836,43856.25051,-57.0905848,-654.1339118,-1.485390437,-64.95033721,-71.23366067,-4168.452774,-1.228318891,-0.766058856,1.003045744,2.834269578,-0.230816818,-0.870635786,-1.065731088,-0.197833256,-0.511972241,-0.284262698,-0.346995641,-1.229362231
75,1051.95589,41127.23688,1321.837391,76912.80074,56.01862657,155.3234924,59.27724051,149.4633777,142.0350922,78.99899572,134.4272883,119.6159604,2,19,M,A,Y,4,-1,-1,-15.1427117,-1632.83404,1.817240509,-33.28662234,29.22739099,12782.20074,-15.04490777,-1458.641004,-3.001373433,-34.80650763,-77.31410994,-1784.88312,1.434535672,-0.918212417,0.789464563,0.529224972,0.193420309,-0.448823267,1.463042135,-1.181472735,-0.580955642,-0.131154856,-0.716709235,-0.730511458
76,1036.273579,39492.6341,1324.139018,66255.10098,63.6232055,279.0881411,56.40608718,298.5331881,123.9620006,830.4224542,103.1554213,371.1403333,2,21,M,A,Y,5,-1,-1,-46.41457868,-1381.309667,-1.053912825,115.7831881,31.52901754,2124.500979,-33.11799938,-707.2175458,4.603205501,88.95814105,-92.99642105,-3419.485902,-0.613153783,-0.754500366,0.840594054,-0.261353453,-0.529749167,2.121180318,0.37606356,-0.262736547,-0.758873276,-0.236153048,1.13787371,1.31767192
77,1098.07138,43644.59516,1341.263782,61501.56271,58.08624791,234.8539602,53.65654163,283.0410774,133.2964613,383.7764032,126.3820137,1725.498337,4,22,M,C,N,2,-1,-1,-23.18798629,-26.95166278,-3.803458372,100.2910774,48.65378218,-2629.03729,-23.78353868,-1153.863597,-0.933752091,44.72396024,-31.19862031,732.4751596,0.907729135,0.127023455,1.221012201,-0.613966576,-1.222288778,1.854092166,0.937470485,-0.808833273,-0.057770075,0.030546855,-0.21246366,0.585639673
78,1080.222861,33523.10299,1337.651445,66611.803,56.29338626,176.2472008,58.6075369,178.3666654,110.5385466,1636.542151,110.2267568,2843.205883,1,20,M,X,Y,4,1,-1,-39.34324318,1090.755883,1.147536898,-4.383334565,45.04144516,2481.202998,-46.54145335,98.90215124,-2.726613739,-13.88279924,-49.04713931,-9389.017006,-0.150121015,0.854516351,1.140765927,-0.234893623,0.024739241,0.04947718,-0.431269639,0.722874601,-0.260263589,-0.619603987,-0.649701627,-0.384244635
79,1255.811315,72082.47126,1329.189478,66638.82668,62.27152337,194.5143606,55.78672504,130.9680727,109.4837177,1790.802468,109.8636496,4085.034568,4,20,M,C,Y,5,1,-1,-39.70635037,2332.584568,-1.673274955,-51.78192734,36.57947797,2508.226683,-47.59628225,253.1624681,3.251523366,4.384360607,126.5413147,29170.35126,-0.173897362,1.662797149,0.952787526,-0.232889031,-0.685750514,-0.767687295,-0.494710718,0.91148268,1.731807743,1.857244818,0.808229339,-0.081941081
80,1047.894502,40891.0588,1395.920001,97961.64575,63.58138573,314.9227012,56.58126461,349.5189516,120.5489426,641.4346577,118.9736615,1284.133208,4,22,M,C,Y,5,-1,-1,-30.59633846,-468.3167922,-0.878735394,166.7689516,103.3100012,33831.04575,-36.53105741,-896.2053423,4.561385733,124.7927012,-81.37549823,-2021.061197,0.422628434,-0.160252047,2.43517298,2.090609054,-0.48562649,3.00018858,0.170790382,-0.493804563,-0.627032562,-0.14632568,1.127674824,1.910698694
81,1210.976384,63204.22415,1189.320929,62291.07687,60.38461182,243.2383014,61.42716231,250.5412216,102.9857462,1802.965566,116.4797809,5352.911009,1,22,M,C,Y,6,1,-1,-33.09021911,3600.461009,3.967162309,67.79122156,-103.2890709,-1839.523133,-54.09425378,265.3255658,1.364611818,53.10830136,81.7063841,20292.10415,0.259328522,2.488031897,-2.154322868,-0.555401138,0.734930163,1.29378592,-0.885521321,0.926354026,1.223150267,1.286953427,0.348054752,0.724392284
82,1089.637185,38360.56419,1270.79559,52936.30401,68.28578013,190.1888366,65.32707514,148.7353965,116.4035139,622.1806144,95.32704264,806.2093334,3,19,M,A,Y,5,1,-1,-54.24295736,-946.2406666,7.867075145,-34.01460349,-21.81441012,-11194.29599,-40.67648609,-915.4593856,9.265780132,0.058836589,-39.63281518,-4551.555805,-1.125757922,-0.471322885,-0.344403716,-1.249329637,1.717217625,-0.461373858,-0.078530114,-0.517345732,-0.153456992,-0.3088712,2.274969065,-0.153524255
101,1096.4745,28965.9157,1241.523794,48465.41456,71.07997116,184.012653,65.62122688,286.2310029,220.7297919,3470.211529,214.3255667,3391.386336,1,21,F,C,Y,3,-1,1,64.75556665,1638.936336,8.161226882,103.4810029,-51.08620642,-15665.18544,63.64979187,1932.571529,12.05997116,-6.117346996,-32.79549988,-13946.2043,1.473941779,1.786500782,-1.314869332,-1.085755205,2.532319643,2.068020795,1.188117659,1.953136688,-0.69673412,-1.192515913,3.106121524,0.073520138
102,1073.463096,35963.57975,1237.095063,70302.74537,56.05849738,261.0582364,61.70510309,225.3519868,187.9299964,3146.510015,202.5733361,2309.217442,4,19,F,C,Y,2,-1,1,53.0033361,556.7674416,4.245103088,42.60198676,-55.51493726,6172.145368,30.84999642,1608.870015,-2.961502616,70.92823645,-55.80690435,-6948.540252,0.858972776,0.42460856,-1.416473034,1.264763279,1.453959907,0.760851781,-0.385661439,1.516006487,-0.970400663,-0.583068642,-0.783682637,1.895683419
103,1034.56933,31257.30683,1226.217416,66396.43546,58.58084755,198.9220468,56.11813579,223.9024934,147.6842856,1065.007213,162.8746764,1710.587707,3,21,F,C,Y,6,1,1,13.30467642,-41.86229311,-1.341864213,41.15249342,-66.39258396,2265.835462,-9.395714357,-472.6327874,-0.439152448,8.792046814,-94.70066968,-11654.81317,-1.218372886,-0.328757373,-1.666027415,0.844297347,-0.084490076,0.72972886,-2.316705751,-1.294878536,-1.43295054,-0.992951878,-0.130521148,0.42613412
104,1334.56083,66638.65627,1360.706936,70458.86628,60.4824883,195.5227545,61.99604224,156.2550627,209.1055218,4380.595912,212.8390283,4010.737667,2,20,F,C,Y,3,-1,1,63.26902825,2258.287667,4.536042245,-26.49493734,68.09693564,6328.266277,52.02552177,2842.955912,1.462488305,5.392754472,205.2908303,23726.53627,1.396154415,2.565944512,1.419423852,1.281567763,1.534074093,-0.722768749,0.630369263,3.182530099,2.134742897,2.088514553,0.361907905,0.345739301
105,1278.873598,70414.67407,1275.591056,55138.09435,60.04045776,181.5138369,54.40202803,220.9559527,167.947306,1186.34913,155.127097,2204.990518,2,21,F,C,Y,4,1,1,5.557097035,452.5405182,-3.057971968,38.20595266,-17.01894414,-8992.505648,10.86730603,-351.2908703,1.02045776,-8.616163069,149.6035982,27502.55407,-1.623787088,0.293440647,-0.533300047,-0.367523782,-0.55704447,0.666461958,-1.344458287,-1.131017033,1.472474225,2.417379118,0.247444286,0.014421995
106,1252.621954,75893.26574,1204.791349,62744.64985,63.29352471,142.7480091,64.06409376,148.2002916,183.2737341,2608.209684,184.9688613,1550.090276,3,20,F,A,N,3,-1,1,35.39886132,-202.3597244,6.604093763,-34.54970844,-87.81865091,-1385.950147,26.19373413,1070.569684,4.273524706,-47.38199088,123.3519535,32981.14574,-0.062231607,-0.530740819,-2.157583081,0.451227808,2.10354115,-0.895717457,-0.60907528,0.789079608,1.160272644,2.89452588,1.08982457,-0.90240756
107,1085.787709,50122.37218,1239.039652,77289.19333,58.22471612,164.2270353,56.22279669,139.0888034,224.2545281,2012.70728,218.0777095,1899.211182,4,19,F,C,N,6,-1,1,68.50770952,146.7611824,-1.237203308,-43.66119662,-53.5703475,13158.59333,67.17452809,475.06728,-0.795283881,-25.90296467,-43.48229056,7210.252178,1.670283363,-0.09137775,-1.371860361,2.016767964,-0.055670225,-1.091355557,1.35723933,-0.015093602,-0.823828364,0.650062493,-0.222741229,-0.394418768
108,1146.027683,36347.89006,1344.338319,53806.4718,54.42454242,188.5626132,51.96992597,207.8022318,162.1012176,3034.616208,164.8841484,2256.067998,3,19,F,A,N,3,1,1,15.31414835,503.6179978,-5.490074029,25.0522318,51.72831939,-10324.1282,5.021217587,1496.976208,-4.595457581,-1.567386793,16.75768258,-6564.229941,-1.113221533,0.357720837,1.043895945,-0.510856474,-1.226757961,0.384030712,-1.624961615,1.364903821,-0.107415543,-0.54959792,-1.206794571,0.181128778
109,1133.239535,38637.00615,1348.96631,56494.20519,63.99738979,189.811983,61.32193255,164.7732799,187.8108074,2936.551973,182.4861666,2660.259844,3,18,F,A,Y,2,-1,1,32.91616658,907.8098442,3.861932547,-17.97672007,56.35630989,-7636.39481,30.7308074,1398.911973,4.97738979,-0.318017035,3.969534866,-4275.113854,-0.192145695,0.866389801,1.150071052,-0.221555228,1.348448512,-0.539869117,-0.391380291,1.232476763,-0.259500488,-0.350232025,1.272090131,0.210676944
110,1305.557552,50862.04878,1315.807157,59135.40574,64.08705431,128.4862105,55.35238859,176.3953799,207.3671833,506.7974661,188.4492662,940.5965884,3,19,F,B,Y,5,1,1,38.87926623,-811.8534116,-2.10761141,-6.354620113,23.19715719,-4995.194264,50.28718332,-1030.842534,5.067054305,-61.64378946,176.2875518,7949.928776,0.119890512,-1.297778863,0.389335569,0.062737333,-0.295349331,-0.290324201,0.546961404,-2.048691317,1.789817103,0.714483117,1.295308718,-1.239705618
111,1175.223472,37967.74272,1357.65444,68179.29694,58.82310237,228.2260081,57.77639499,242.8268356,199.1139964,2397.901466,186.6242336,2522.795986,2,24,F,B,Y,7,1,1,37.05423363,770.3459857,0.316394994,60.07683561,65.04443962,4048.696943,42.0339964,860.261466,-0.196897627,38.0960081,45.95347238,-4944.377276,0.024390473,0.693393737,1.349393653,1.036200328,0.372134907,1.136064496,0.150962194,0.505077002,0.23979972,-0.408520157,-0.067789367,1.119186205
112,1114.402774,35217.11901,1274.781304,55266.23416,58.72921429,168.713402,54.47033847,185.7331346,190.1322562,1774.269343,175.6874329,1266.699506,2,18,F,X,Y,5,1,1,26.11743294,-485.7504941,-2.989661532,2.983134566,-17.828696,-8864.365841,33.05225624,236.6293431,-0.29078571,-21.41659798,-14.86722609,-7695.000989,-0.547908835,-0.887383564,-0.55187733,-0.353731117,-0.538234231,-0.089827801,-0.279993998,-0.3370829,-0.483519463,-0.648080117,-0.092101645,-0.288314144
113,1110.13209,31097.88908,1255.874104,57223.00495,66.26071981,133.0907778,59.34747301,192.8834678,191.6512649,1760.901034,177.4602866,788.9400278,3,18,F,C,Y,5,-1,1,27.89028665,-963.5099722,1.887473012,10.13346784,-36.73589579,-6907.595051,34.57126489,223.2610338,7.240719814,-57.03922217,-19.13790958,-11814.23092,-0.455139206,-1.488636215,-0.985645283,-0.143108951,0.804753324,0.063701193,-0.207109882,-0.355135616,-0.5343092,-1.006836041,1.858178465,-1.130805496
114,1092.170241,35468.7508,1280.9052,66704.24935,56.37679355,229.0790464,52.8311309,191.8689494,185.7797237,1687.796565,170.7899205,742.0682068,4,19,F,B,Y,5,1,1,21.21992054,-1010.381793,-4.628869103,9.118949446,-11.7048,2573.649353,28.69972374,150.1565647,-2.643206452,38.94904645,-37.09975873,-7443.369195,-0.804185149,-1.547623651,-0.411383241,0.877429705,-0.989613079,0.041917874,-0.488834466,-0.453856722,-0.747923157,-0.626164759,-0.701259983,1.139360952
115,1180.51843,42248.30805,1362.581411,51691.56486,55.77648632,227.5885154,54.34730028,176.1911455,180.5074211,1553.833077,178.1636842,1345.988382,1,22,F,A,Y,3,-1,1,28.59368425,-406.4616178,-3.112699721,-6.558854511,69.97141087,-12439.03514,23.42742114,16.1930772,-3.24351368,37.4585154,51.2484301,-663.8119496,-0.418331919,-0.787599783,1.462427961,-0.73850004,-0.572114526,-0.294709437,-0.741806765,-0.634762537,0.302770791,-0.035713055,-0.856709281,1.104109211
116,1161.632364,33235.07133,1313.802129,49223.95045,61.0743689,197.4442821,58.49586174,206.0669846,212.9049111,1896.757578,196.789912,2048.655769,1,18,F,A,Y,2,-1,1,47.21991201,296.2057688,1.035861737,23.31698461,21.19212933,-14906.64955,55.82491112,359.1175775,2.0543689,7.314282079,32.36236379,-9677.048671,0.556338606,0.096695869,0.343336328,-1.004108202,0.570250188,0.346772204,0.812669166,-0.171673397,0.078165444,-0.820702515,0.515175131,0.391184308
117,1150.181353,40715.21135,1298.272143,61196.34499,54.46806668,155.6206308,56.34578569,130.9668554,206.6233601,2569.514417,186.8583135,2901.095921,4,20,F,C,Y,6,1,1,37.28831352,1148.645921,-1.11421431,-51.78314463,5.662143396,-2934.255008,49.54336006,1031.874417,-4.551933321,-34.5093692,20.91135287,-2196.90865,0.036639371,1.169478147,-0.012951767,0.284571945,-0.021803475,-1.26574666,0.511271745,0.736825079,-0.058017403,-0.169234984,-1.195523983,-0.597964171
118,1152.365003,40962.15945,1343.386831,56903.09625,49.49413496,130.4027032,52.10389674,124.337076,155.5366272,617.5030647,160.9848312,1240.543242,1,22,F,C,Y,5,1,1,11.4148312,-511.9067576,-5.356103258,-58.41292399,50.77683078,-7227.503752,-1.543372847,-920.1369353,-9.525865037,-59.7272968,23.09500251,-1949.96055,-1.317264431,-0.920300803,1.022066945,-0.177543165,-1.189867226,-1.408098536,-1.939939653,-1.899193219,-0.032048025,-0.147727543,-2.483521457,-1.19437969
119,1089.736764,33310.72717,1291.207483,56511.44759,57.34975475,177.0594878,53.89307256,181.3294271,189.736219,1547.508031,175.0010115,2566.684254,4,21,F,C,Y,4,1,1,25.43101154,814.234254,-3.56692744,-1.420572871,-1.402517423,-7619.15241,32.65621905,9.868031393,-1.670245245,-13.07051225,-39.53323633,-9601.392831,-0.583827794,0.74862642,-0.175028832,-0.219699297,-0.697192514,-0.184382383,-0.298996404,-0.64330395,-0.776863651,-0.814113424,-0.449312097,-0.0909254
120,1091.519481,37910.61943,1301.159227,63071.89723,58.65522622,224.9881556,57.49751857,193.9717711,186.2161412,2393.569895,156.4793634,2770.947405,1,22,F,A,Y,5,1,1,6.909363442,1018.497405,0.037518568,11.22177105,8.549226787,-1058.702768,29.13614121,855.9298946,-0.364773784,34.85815565,-37.75051948,-5001.500568,-1.553025889,1.005688325,0.053283544,0.486451939,0.295342363,0.087068789,-0.467894559,0.499227598,-0.755662426,-0.413495194,-0.111260825,1.042609514
121,1297.072968,68574.49345,1314.478894,80720.25642,57.43030841,311.3120763,54.58245666,293.0364394,204.5529533,2119.880904,198.0310341,2382.814089,1,19,F,C,Y,3,-1,1,48.46103411,630.3640889,-2.877543342,110.2864394,21.86889398,16589.65642,47.47295329,582.2409045,-1.58969159,121.1820763,167.8029685,25662.37345,0.621283862,0.517228762,0.358862626,2.386079456,-0.507360912,2.214144307,0.411930794,0.129634878,1.688912936,2.257112342,-0.428452763,3.084209712
122,1111.60739,37987.67633,1304.497551,66573.73489,61.28837065,223.9277621,55.5999886,224.7429889,254.7407509,1557.551595,223.9387429,1899.216252,4,19,F,H,N,5,1,1,74.36874292,146.7662523,-1.860011403,41.99298892,11.88755104,2443.13489,97.66075094,19.91159452,2.268370646,33.79776208,-17.66261031,-4924.44367,1.976978663,-0.091371369,0.129871198,0.863381437,-0.227169189,0.747775631,2.820010047,-0.629741009,-0.516763985,-0.40678408,0.57059079,1.017530721
123,1364.681992,52766.47671,1358.169758,54817.46025,59.93948546,176.7199801,53.77934186,243.5590121,211.7582597,2783.687856,194.6691284,2691.713977,4,25,F,C,Y,5,-1,1,45.09912843,939.2639773,-3.68065814,60.80901206,65.55975755,-9313.139747,54.67825974,1246.047856,0.919485457,-13.41001994,235.4119917,9854.356714,0.445362553,0.905974324,1.36121605,-0.402036076,-0.728509861,1.151785485,0.757651263,1.026047323,2.49296328,0.880345382,0.221297552,-0.098954912
124,1095.23888,37556.02626,1352.214606,61138.19969,61.50725421,154.6141537,56.62424352,168.0583795,160.2039242,944.569083,154.7240704,1232.78055,4,18,F,C,Y,4,-1,1,5.154070447,-519.66945,-0.835756478,-14.69162047,59.6046064,-2992.400311,3.123924244,-593.070917,2.48725421,-35.51584628,-34.03112028,-5356.093744,-1.644876605,-0.930070027,1.224593295,0.278313323,0.054873803,-0.469332819,-1.715996347,-1.457519554,-0.711428919,-0.444377763,0.627270595,-0.621767814
125,1303.862862,65835.4873,1295.089802,62928.86784,60.01625489,165.4552993,57.46116385,183.8927167,176.5093407,1920.650529,163.8666961,2437.085818,1,18,F,C,Y,6,1,1,14.29669608,684.6358184,0.001163852,1.142716706,2.479802146,-1201.73216,19.42934069,383.0105293,0.996254893,-24.67470069,174.5928624,22923.3673,-1.166462627,0.585528865,-0.085960867,0.471056595,0.28533158,-0.129344491,-0.933640139,-0.139408083,1.769662758,2.01856419,0.241176964,-0.365369763
126,1080.545721,41693.31278,1263.423603,60738.54182,62.52362313,248.8365178,60.41882556,226.7152708,212.2878703,3121.680183,194.4437583,2496.244637,1,19,F,C,Y,7,1,1,44.87375833,743.7946374,2.958825563,43.96527076,-29.18639684,-3392.058184,55.20787029,1584.040183,3.503623132,58.70651783,-48.72427889,-1218.807219,0.433569419,0.659979291,-0.812445087,0.235295098,1.099765309,0.79012365,0.783062703,1.482476001,-0.886169489,-0.084049235,0.890458889,1.606634185
127,1308.498701,60784.13341,1328.200559,51398.6341,56.70959388,140.6304709,53.7222047,159.9378099,178.1666461,2650.13722,168.1728422,1474.331419,4,19,F,X,Y,4,1,1,18.60284218,-278.1185806,-3.737795296,-22.81219011,35.59055933,-12731.9659,21.08664612,1112.49722,-2.310406117,-49.49952911,179.228701,17872.01341,-0.941131243,-0.626082126,0.673664329,-0.770030413,-0.74424338,-0.643694326,-0.854120356,0.845699028,1.824795156,1.578626831,-0.615081479,-0.952488307
128,1323.498762,50543.76425,1310.517301,49546.05611,50.92580546,134.1401835,52.15353253,150.0815495,177.0225405,2390.810487,183.654515,1989.983803,3,21,F,H,Y,2,-1,1,34.084515,237.5338027,-5.306467469,-32.66845045,17.90730138,-14584.54389,19.94254051,853.1704873,-8.094194541,-55.9898165,194.2287623,7631.644246,-0.13100853,0.022858139,0.267975984,-0.969437512,-1.176199314,-0.855323865,-0.909016109,0.495501263,2.003185611,0.686762775,-2.112790999,-1.105986572
